input_source,layer,sample_id,relevance,clarity,answerability,challenging,value,language,correctness,answer_problems,comments
script,1,001,,,,,,,,,
script,5,002,,,,,,,,,
script,5,003,,,,,,,,,
script,7,004,,,,,,,,,
tanenbaum,4,005,,,,,,,,,
tanenbaum,6,006,,,,,,,,,
tanenbaum,1,007,,,,,,,,,
tanenbaum,2,008,,,,,,,,,
transcript,2,009,,,,,,,,,
transcript,5,010,,,,,,,,,
transcript,2,011,,,,,,,,,
transcript,7,012,,,,,,,,,
script,1,013,,,,,,,,,
script,3,014,,,,,,,,,
script,1,015,,,,,,,,,
script,6,016,,,,,,,,,
tanenbaum,4,017,,,,,,,,,
tanenbaum,5,018,,,,,,,,,
tanenbaum,2,019,,,,,,,,,
tanenbaum,6,020,,,,,,,,,
transcript,1,021,,,,,,,,,
transcript,2,022,,,,,,,,,
transcript,4,023,,,,,,,,,
transcript,7,024,,,,,,,,,
script,4,025,,,,,,,,,
script,7,026,,,,,,,,,
script,3,027,,,,,,,,,
script,5,028,,,,,,,,,
tanenbaum,1,029,,,,,,,,,
tanenbaum,7,030,,,,,,,,,
tanenbaum,1,031,,,,,,,,,
tanenbaum,5,032,,,,,,,,,
transcript,1,033,,,,,,,,,
transcript,2,034,,,,,,,,,
transcript,1,035,,,,,,,,,
transcript,5,036,,,,,,,,,
script,1,037,,,,,,,,,
script,4,038,,,,,,,,,
script,2,039,,,,,,,,,
script,7,040,,,,,,,,,
tanenbaum,1,041,,,,,,,,,
tanenbaum,4,042,,,,,,,,,
tanenbaum,1,043,,,,,,,,,
tanenbaum,2,044,,,,,,,,,
transcript,1,045,,,,,,,,,
transcript,5,046,,,,,,,,,
transcript,1,047,,,,,,,,,
transcript,5,048,,,,,,,,,
