llm,prompt_type,input_source,layer
anthropic,common,script,1
anthropic,common,script,5
anthropic,complex,script,5
anthropic,complex,script,7
anthropic,common,tanenbaum,4
anthropic,common,tanenbaum,6
anthropic,complex,tanenbaum,1
anthropic,complex,tanenbaum,2
anthropic,common,transcript,2
anthropic,common,transcript,5
anthropic,complex,transcript,2
anthropic,complex,transcript,7
deepseek,common,script,1
deepseek,common,script,3
deepseek,complex,script,1
deepseek,complex,script,6
deepseek,common,tanenbaum,4
deepseek,common,tanenbaum,5
deepseek,complex,tanenbaum,2
deepseek,complex,tanenbaum,6
deepseek,common,transcript,1
deepseek,common,transcript,2
deepseek,complex,transcript,4
deepseek,complex,transcript,7
google,common,script,4
google,common,script,7
google,complex,script,3
google,complex,script,5
google,common,tanenbaum,1
google,common,tanenbaum,7
google,complex,tanenbaum,1
google,complex,tanenbaum,5
google,common,transcript,1
google,common,transcript,2
google,complex,transcript,1
google,complex,transcript,5
openai,common,script,1
openai,common,script,4
openai,complex,script,2
openai,complex,script,7
openai,common,tanenbaum,1
openai,common,tanenbaum,4
openai,complex,tanenbaum,1
openai,complex,tanenbaum,2
openai,common,transcript,1
openai,common,transcript,5
openai,complex,transcript,1
openai,complex,transcript,5
