llm,input_source,layer,prompt_type,comparison_source,cosine_similarity,adherence_score_openai,adherence_score_anthropic
anthropic,no_source,1,complex_no_source,script,0.5146508812904358,0.74,0.5
anthropic,no_source,1,complex_no_source,tanenbaum,0.5629073977470398,0.65,0.6
anthropic,no_source,1,complex_no_source,transcript,0.5986001491546631,0.4,0.3
anthropic,no_source,2,complex_no_source,script,0.5489319562911987,0.88,0.75
anthropic,no_source,2,complex_no_source,tanenbaum,0.6460466384887695,0.88,0.6
anthropic,no_source,2,complex_no_source,transcript,0.5437723398208618,0.65,0.55
anthropic,no_source,3,complex_no_source,script,0.5322725772857666,0.88,0.6
anthropic,no_source,3,complex_no_source,tanenbaum,0.5030161738395691,0.45,0.6
anthropic,no_source,3,complex_no_source,transcript,0.49471408128738403,0.82,0.4
anthropic,no_source,4,complex_no_source,script,0.4467269480228424,0.88,0.65
anthropic,no_source,4,complex_no_source,tanenbaum,0.5457913875579834,0.78,0.55
anthropic,no_source,4,complex_no_source,transcript,0.585801362991333,0.65,0.75
anthropic,no_source,5,complex_no_source,script,0.5832359790802002,1.0,0.8
anthropic,no_source,5,complex_no_source,tanenbaum,0.5960363149642944,0.95,0.95
anthropic,no_source,5,complex_no_source,transcript,0.5847716331481934,0.96,0.8
anthropic,no_source,6,complex_no_source,script,0.5054879188537598,0.88,0.5
anthropic,no_source,6,complex_no_source,tanenbaum,0.5611865520477295,0.88,0.7
anthropic,no_source,6,complex_no_source,transcript,0.6158637404441833,0.88,0.5
anthropic,no_source,7,complex_no_source,script,0.7063682675361633,0.25,0.6
anthropic,no_source,7,complex_no_source,tanenbaum,0.5229077935218811,0.25,0.3
anthropic,no_source,7,complex_no_source,transcript,0.6805469989776611,0.45,0.5
deepseek,no_source,1,complex_no_source,script,0.43675875663757324,0.9,0.7
deepseek,no_source,1,complex_no_source,tanenbaum,0.43654200434684753,0.96,0.85
deepseek,no_source,1,complex_no_source,transcript,0.36669355630874634,0.88,0.75
deepseek,no_source,2,complex_no_source,script,0.4267430305480957,0.88,0.8
deepseek,no_source,2,complex_no_source,tanenbaum,0.4897109270095825,0.67,0.6
deepseek,no_source,2,complex_no_source,transcript,0.26644518971443176,0.87,0.65
deepseek,no_source,3,complex_no_source,script,0.5994528532028198,0.4,0.35
deepseek,no_source,3,complex_no_source,tanenbaum,0.47105711698532104,0.65,0.4
deepseek,no_source,3,complex_no_source,transcript,0.4653893709182739,0.25,0.3
deepseek,no_source,4,complex_no_source,script,0.44962331652641296,0.55,0.5
deepseek,no_source,4,complex_no_source,tanenbaum,0.4493655264377594,0.75,0.6
deepseek,no_source,4,complex_no_source,transcript,0.4045320153236389,0.9,0.7
deepseek,no_source,5,complex_no_source,script,0.2959322929382324,0.07,0.0
deepseek,no_source,5,complex_no_source,tanenbaum,0.38618576526641846,0.08,0.0
deepseek,no_source,5,complex_no_source,transcript,0.3304286599159241,0.05,0.0
deepseek,no_source,6,complex_no_source,script,0.460402250289917,0.95,0.85
deepseek,no_source,6,complex_no_source,tanenbaum,0.5043772459030151,0.97,0.9
deepseek,no_source,6,complex_no_source,transcript,0.40580859780311584,0.97,0.85
deepseek,no_source,7,complex_no_source,script,0.6702790260314941,0.65,0.5
deepseek,no_source,7,complex_no_source,tanenbaum,0.5132366418838501,0.88,0.5
