llm,input_source,layer,prompt_type
anthropic,script,1,common
anthropic,script,1,complex
anthropic,script,2,common
anthropic,script,2,complex
anthropic,script,3,common
anthropic,script,3,complex
anthropic,script,4,common
anthropic,script,4,complex
anthropic,script,5,common
anthropic,script,5,complex
anthropic,script,6,common
anthropic,script,6,complex
anthropic,script,7,common
anthropic,script,7,complex
deepseek,script,1,common
deepseek,script,1,complex
deepseek,script,2,common
deepseek,script,2,complex
deepseek,script,3,common
deepseek,script,3,complex
deepseek,script,4,common
deepseek,script,4,complex
deepseek,script,5,common
deepseek,script,5,complex
deepseek,script,6,common
deepseek,script,6,complex
deepseek,script,7,common
deepseek,script,7,complex
google,script,1,common
google,script,1,complex
google,script,2,common
google,script,2,complex
google,script,3,common
google,script,3,complex
google,script,4,common
google,script,4,complex
google,script,5,common
google,script,5,complex
google,script,6,common
google,script,6,complex
google,script,7,common
google,script,7,complex
openai,script,1,common
openai,script,1,complex
openai,script,2,common
openai,script,2,complex
openai,script,3,common
openai,script,3,complex
openai,script,4,common
openai,script,4,complex
openai,script,5,common
openai,script,5,complex
openai,script,6,common
openai,script,6,complex
openai,script,7,common
openai,script,7,complex
