llm,question_type,bloom_idx,question_num
anthropic,mcq,1,1
anthropic,mcq,1,2
anthropic,mcq,2,1
anthropic,mcq,2,2
anthropic,mcq,3,1
anthropic,mcq,3,2
anthropic,open_ended,1,1
anthropic,open_ended,2,1
anthropic,open_ended,3,1
anthropic,open_ended,4,1
anthropic,open_ended,5,1
anthropic,open_ended,6,1
deepseek,mcq,1,1
deepseek,mcq,1,2
deepseek,mcq,2,1
deepseek,mcq,2,2
deepseek,mcq,3,1
deepseek,mcq,3,2
deepseek,open_ended,1,1
deepseek,open_ended,2,1
deepseek,open_ended,3,1
deepseek,open_ended,4,1
deepseek,open_ended,5,1
deepseek,open_ended,6,1
openai,mcq,1,1
openai,mcq,1,2
openai,mcq,2,1
openai,mcq,2,2
openai,mcq,3,1
openai,mcq,3,2
openai,open_ended,1,1
openai,open_ended,2,1
openai,open_ended,3,1
openai,open_ended,4,1
openai,open_ended,5,1
openai,open_ended,6,1
xai,mcq,1,1
xai,mcq,1,2
xai,mcq,2,1
xai,mcq,2,2
xai,mcq,3,1
xai,mcq,3,2
xai,open_ended,1,1
xai,open_ended,2,1
xai,open_ended,3,1
xai,open_ended,4,1
xai,open_ended,5,1
xai,open_ended,6,1
