llm,input_source,layer,prompt_type,cosine_similarity,adherence_score_openai,adherence_score_anthropic
anthropic,script_manipulated,1,common,0.6991411447525024,1.0,1.0
anthropic,script_manipulated,1,complex,0.5708450078964233,0.97,1.0
anthropic,script_manipulated,2,common,0.4212440252304077,1.0,1.0
anthropic,script_manipulated,2,complex,0.5959988832473755,0.95,0.95
anthropic,script_manipulated,3,common,0.8176732659339905,0.9,1.0
anthropic,script_manipulated,3,complex,0.6191387176513672,0.25,1.0
anthropic,script_manipulated,4,common,0.649313747882843,1.0,0.95
anthropic,script_manipulated,4,complex,0.6014134287834167,0.85,0.95
anthropic,script_manipulated,5,common,0.7590939998626709,1.0,1.0
anthropic,script_manipulated,5,complex,0.4767976999282837,0.65,0.9
anthropic,script_manipulated,6,common,0.7347021102905273,0.95,0.5
anthropic,script_manipulated,6,complex,0.5402418375015259,1.0,0.95
anthropic,script_manipulated,7,common,0.8333086967468262,1.0,1.0
anthropic,script_manipulated,7,complex,0.6358224153518677,0.83,0.75
deepseek,script_manipulated,1,common,0.5201879739761353,1.0,1.0
deepseek,script_manipulated,1,complex,0.5734769701957703,0.15,0.2
deepseek,script_manipulated,2,common,0.32838675379753113,0.25,0.0
deepseek,script_manipulated,2,complex,0.4494250416755676,0.25,1.0
deepseek,script_manipulated,3,common,0.5169249773025513,1.0,1.0
deepseek,script_manipulated,3,complex,0.5252494215965271,0.67,0.95
deepseek,script_manipulated,4,common,0.5027691125869751,1.0,0.95
deepseek,script_manipulated,4,complex,0.5055711269378662,0.82,0.8
deepseek,script_manipulated,5,common,0.5853902101516724,1.0,1.0
deepseek,script_manipulated,5,complex,0.4622254967689514,0.9,1.0
deepseek,script_manipulated,6,common,0.5300289392471313,0.9,1.0
deepseek,script_manipulated,6,complex,0.44526606798171997,0.05,0.0
deepseek,script_manipulated,7,common,0.746414303779602,1.0,1.0
deepseek,script_manipulated,7,complex,0.8079110383987427,0.88,0.7
google,script_manipulated,1,common,0.4524422585964203,1.0,1.0
google,script_manipulated,1,complex,0.7380675077438354,0.88,0.9
google,script_manipulated,2,common,0.7183986902236938,0.97,1.0
google,script_manipulated,2,complex,0.7700545787811279,0.95,1.0
google,script_manipulated,3,common,0.5633276700973511,1.0,1.0
google,script_manipulated,3,complex,0.6666536331176758,0.45,0.5
google,script_manipulated,4,common,0.5958943367004395,1.0,1.0
google,script_manipulated,4,complex,0.37077078223228455,0.65,0.95
google,script_manipulated,5,common,0.7901378870010376,1.0,1.0
google,script_manipulated,5,complex,0.6217496991157532,0.88,0.95
google,script_manipulated,6,common,0.5428464412689209,1.0,1.0
google,script_manipulated,6,complex,0.6059809923171997,0.88,0.85
google,script_manipulated,7,common,0.8746054768562317,1.0,1.0
google,script_manipulated,7,complex,0.34796804189682007,0.96,1.0
openai,script_manipulated,1,common,0.5184048414230347,1.0,1.0
openai,script_manipulated,1,complex,0.5258671641349792,0.05,0.2
openai,script_manipulated,2,common,0.565268874168396,1.0,1.0
openai,script_manipulated,2,complex,0.4936772584915161,1.0,0.95
openai,script_manipulated,3,common,0.682429313659668,1.0,0.9
openai,script_manipulated,3,complex,0.5389871001243591,0.25,0.3
openai,script_manipulated,4,common,0.4812459647655487,1.0,1.0
openai,script_manipulated,4,complex,0.7224752306938171,0.95,1.0
openai,script_manipulated,5,common,0.7772877216339111,1.0,1.0
openai,script_manipulated,5,complex,0.5056018829345703,0.1,0.0
openai,script_manipulated,6,common,0.6026668548583984,1.0,1.0
openai,script_manipulated,6,complex,0.5872448086738586,1.0,1.0
openai,script_manipulated,7,common,0.585722804069519,1.0,1.0
openai,script_manipulated,7,complex,0.8099793791770935,0.92,0.95
