exp_name,llm,layers,question_type,bloom_original
exp2c,anthropic,all_layers,multiple_choice,1
exp2c,anthropic,all_layers,multiple_choice,2
exp2c,anthropic,all_layers,multiple_choice,3
exp2c,anthropic,all_layers,multiple_choice,4
exp2c,anthropic,all_layers,multiple_choice,5
exp2c,anthropic,all_layers,multiple_choice,6
exp2c,anthropic,all_layers,open_ended,1
exp2c,anthropic,all_layers,open_ended,2
exp2c,anthropic,all_layers,open_ended,3
exp2c,anthropic,all_layers,open_ended,4
exp2c,anthropic,all_layers,open_ended,5
exp2c,anthropic,all_layers,open_ended,6
exp2c,deepseek,all_layers,multiple_choice,1
exp2c,deepseek,all_layers,multiple_choice,2
exp2c,deepseek,all_layers,multiple_choice,3
exp2c,deepseek,all_layers,multiple_choice,4
exp2c,deepseek,all_layers,multiple_choice,5
exp2c,deepseek,all_layers,multiple_choice,6
exp2c,deepseek,all_layers,open_ended,1
exp2c,deepseek,all_layers,open_ended,2
exp2c,deepseek,all_layers,open_ended,3
exp2c,deepseek,all_layers,open_ended,4
exp2c,deepseek,all_layers,open_ended,5
exp2c,deepseek,all_layers,open_ended,6
exp2c,google,all_layers,multiple_choice,1
exp2c,google,all_layers,multiple_choice,2
exp2c,google,all_layers,multiple_choice,3
exp2c,google,all_layers,multiple_choice,4
exp2c,google,all_layers,multiple_choice,5
exp2c,google,all_layers,multiple_choice,6
exp2c,google,all_layers,open_ended,1
exp2c,google,all_layers,open_ended,2
exp2c,google,all_layers,open_ended,3
exp2c,google,all_layers,open_ended,4
exp2c,google,all_layers,open_ended,5
exp2c,google,all_layers,open_ended,6
exp2c,openai,all_layers,multiple_choice,1
exp2c,openai,all_layers,multiple_choice,2
exp2c,openai,all_layers,multiple_choice,3
exp2c,openai,all_layers,multiple_choice,4
exp2c,openai,all_layers,multiple_choice,5
exp2c,openai,all_layers,multiple_choice,6
exp2c,openai,all_layers,open_ended,1
exp2c,openai,all_layers,open_ended,2
exp2c,openai,all_layers,open_ended,3
exp2c,openai,all_layers,open_ended,4
exp2c,openai,all_layers,open_ended,5
exp2c,openai,all_layers,open_ended,6
