llm,input_source,layer,prompt_type
anthropic,script,1,common
anthropic,script,1,complex
anthropic,script,2,common
anthropic,script,2,complex
anthropic,script,3,common
anthropic,script,3,complex
anthropic,script,4,common
anthropic,script,4,complex
anthropic,script,5,common
anthropic,script,5,complex
anthropic,script,6,common
anthropic,script,6,complex
anthropic,script,7,common
anthropic,script,7,complex
anthropic,tanenbaum,1,common
anthropic,tanenbaum,1,complex
anthropic,tanenbaum,2,common
anthropic,tanenbaum,2,complex
anthropic,tanenbaum,3,common
anthropic,tanenbaum,3,complex
anthropic,tanenbaum,4,common
anthropic,tanenbaum,4,complex
anthropic,tanenbaum,5,common
anthropic,tanenbaum,5,complex
anthropic,tanenbaum,6,common
anthropic,tanenbaum,6,complex
anthropic,tanenbaum,7,common
anthropic,tanenbaum,7,complex
anthropic,transcript,1,common
anthropic,transcript,1,complex
anthropic,transcript,2,common
anthropic,transcript,2,complex
anthropic,transcript,3,common
anthropic,transcript,3,complex
anthropic,transcript,4,common
anthropic,transcript,4,complex
anthropic,transcript,5,common
anthropic,transcript,5,complex
anthropic,transcript,6,common
anthropic,transcript,6,complex
anthropic,transcript,7,common
anthropic,transcript,7,complex
deepseek,script,1,common
deepseek,script,1,complex
deepseek,script,2,common
deepseek,script,2,complex
deepseek,script,3,common
deepseek,script,3,complex
deepseek,script,4,common
deepseek,script,4,complex
deepseek,script,5,common
deepseek,script,5,complex
deepseek,script,6,common
deepseek,script,6,complex
deepseek,script,7,common
deepseek,script,7,complex
deepseek,tanenbaum,1,common
deepseek,tanenbaum,1,complex
deepseek,tanenbaum,2,common
deepseek,tanenbaum,2,complex
deepseek,tanenbaum,3,common
deepseek,tanenbaum,3,complex
deepseek,tanenbaum,4,common
deepseek,tanenbaum,4,complex
deepseek,tanenbaum,5,common
deepseek,tanenbaum,5,complex
deepseek,tanenbaum,6,common
deepseek,tanenbaum,6,complex
deepseek,tanenbaum,7,common
deepseek,tanenbaum,7,complex
deepseek,transcript,1,common
deepseek,transcript,1,complex
deepseek,transcript,2,common
deepseek,transcript,2,complex
deepseek,transcript,3,common
deepseek,transcript,3,complex
deepseek,transcript,4,common
deepseek,transcript,4,complex
deepseek,transcript,5,common
deepseek,transcript,5,complex
deepseek,transcript,6,common
deepseek,transcript,6,complex
deepseek,transcript,7,common
deepseek,transcript,7,complex
google,script,1,common
google,script,1,complex
google,script,2,common
google,script,2,complex
google,script,3,common
google,script,3,complex
google,script,4,common
google,script,4,complex
google,script,5,common
google,script,5,complex
google,script,6,common
google,script,6,complex
google,script,7,common
google,script,7,complex
google,tanenbaum,1,common
google,tanenbaum,1,complex
google,tanenbaum,2,common
google,tanenbaum,2,complex
google,tanenbaum,3,common
google,tanenbaum,3,complex
google,tanenbaum,4,common
google,tanenbaum,4,complex
google,tanenbaum,5,common
google,tanenbaum,5,complex
google,tanenbaum,6,common
google,tanenbaum,6,complex
google,tanenbaum,7,common
google,tanenbaum,7,complex
google,transcript,1,common
google,transcript,1,complex
google,transcript,2,common
google,transcript,2,complex
google,transcript,3,common
google,transcript,3,complex
google,transcript,4,common
google,transcript,4,complex
google,transcript,5,common
google,transcript,5,complex
google,transcript,6,common
google,transcript,6,complex
google,transcript,7,common
google,transcript,7,complex
openai,script,1,common
openai,script,1,complex
openai,script,2,common
openai,script,2,complex
openai,script,3,common
openai,script,3,complex
openai,script,4,common
openai,script,4,complex
openai,script,5,common
openai,script,5,complex
openai,script,6,common
openai,script,6,complex
openai,script,7,common
openai,script,7,complex
openai,tanenbaum,1,common
openai,tanenbaum,1,complex
openai,tanenbaum,2,common
openai,tanenbaum,2,complex
openai,tanenbaum,3,common
openai,tanenbaum,3,complex
openai,tanenbaum,4,common
openai,tanenbaum,4,complex
openai,tanenbaum,5,common
openai,tanenbaum,5,complex
openai,tanenbaum,6,common
openai,tanenbaum,6,complex
openai,tanenbaum,7,common
openai,tanenbaum,7,complex
openai,transcript,1,common
openai,transcript,1,complex
openai,transcript,2,common
openai,transcript,2,complex
openai,transcript,3,common
openai,transcript,3,complex
openai,transcript,4,common
openai,transcript,4,complex
openai,transcript,5,common
openai,transcript,5,complex
openai,transcript,6,common
openai,transcript,6,complex
openai,transcript,7,common
openai,transcript,7,complex
