llm,layer,question_type,bloom_idx
anthropic,1,mcq,1
anthropic,7,mcq,1
anthropic,3,mcq,2
anthropic,4,mcq,2
anthropic,5,mcq,2
anthropic,2,mcq,3
anthropic,6,mcq,3
anthropic,4,open_ended,1
anthropic,3,open_ended,2
anthropic,1,open_ended,3
anthropic,5,open_ended,3
anthropic,6,open_ended,3
anthropic,2,open_ended,5
anthropic,7,open_ended,6
deepseek,3,mcq,1
deepseek,1,mcq,3
deepseek,2,mcq,3
deepseek,4,mcq,3
deepseek,5,mcq,3
deepseek,6,mcq,3
deepseek,7,mcq,3
deepseek,1,open_ended,1
deepseek,3,open_ended,1
deepseek,4,open_ended,3
deepseek,6,open_ended,3
deepseek,7,open_ended,3
deepseek,5,open_ended,5
deepseek,2,open_ended,6
openai,3,mcq,1
openai,6,mcq,1
openai,2,mcq,2
openai,5,mcq,2
openai,1,mcq,3
openai,4,mcq,3
openai,7,mcq,3
openai,4,open_ended,4
openai,5,open_ended,4
openai,1,open_ended,5
openai,2,open_ended,5
openai,3,open_ended,5
openai,6,open_ended,5
openai,7,open_ended,6
xai,1,mcq,1
xai,4,mcq,1
xai,7,mcq,1
xai,2,mcq,2
xai,3,mcq,2
xai,6,mcq,2
xai,5,mcq,3
xai,3,open_ended,1
xai,5,open_ended,1
xai,4,open_ended,4
xai,6,open_ended,4
xai,1,open_ended,5
xai,2,open_ended,5
xai,7,open_ended,6
