exp_name,llm,layers,question_type,question_id
exp2a,anthropic,all_layers,multiple_choice,1
exp2a,anthropic,all_layers,multiple_choice,2
exp2a,anthropic,all_layers,multiple_choice,3
exp2a,anthropic,all_layers,multiple_choice,4
exp2a,anthropic,all_layers,multiple_choice,5
exp2a,anthropic,all_layers,multiple_choice,6
exp2a,anthropic,all_layers,open_ended,1
exp2a,anthropic,all_layers,open_ended,2
exp2a,anthropic,all_layers,open_ended,3
exp2a,anthropic,all_layers,open_ended,4
exp2a,anthropic,all_layers,open_ended,5
exp2a,anthropic,all_layers,open_ended,6
exp2a,deepseek,all_layers,multiple_choice,1
exp2a,deepseek,all_layers,multiple_choice,2
exp2a,deepseek,all_layers,multiple_choice,3
exp2a,deepseek,all_layers,multiple_choice,4
exp2a,deepseek,all_layers,multiple_choice,5
exp2a,deepseek,all_layers,multiple_choice,6
exp2a,deepseek,all_layers,open_ended,1
exp2a,deepseek,all_layers,open_ended,2
exp2a,deepseek,all_layers,open_ended,3
exp2a,deepseek,all_layers,open_ended,4
exp2a,deepseek,all_layers,open_ended,5
exp2a,deepseek,all_layers,open_ended,6
exp2a,google,all_layers,multiple_choice,1
exp2a,google,all_layers,multiple_choice,2
exp2a,google,all_layers,multiple_choice,3
exp2a,google,all_layers,multiple_choice,4
exp2a,google,all_layers,multiple_choice,5
exp2a,google,all_layers,multiple_choice,6
exp2a,google,all_layers,open_ended,1
exp2a,google,all_layers,open_ended,2
exp2a,google,all_layers,open_ended,3
exp2a,google,all_layers,open_ended,4
exp2a,google,all_layers,open_ended,5
exp2a,google,all_layers,open_ended,6
exp2a,openai,all_layers,multiple_choice,1
exp2a,openai,all_layers,multiple_choice,2
exp2a,openai,all_layers,multiple_choice,3
exp2a,openai,all_layers,multiple_choice,4
exp2a,openai,all_layers,multiple_choice,5
exp2a,openai,all_layers,multiple_choice,6
exp2a,openai,all_layers,open_ended,1
exp2a,openai,all_layers,open_ended,2
exp2a,openai,all_layers,open_ended,3
exp2a,openai,all_layers,open_ended,4
exp2a,openai,all_layers,open_ended,5
exp2a,openai,all_layers,open_ended,6
