llm,input_source,layer,prompt_type,cosine_similarity,adherence_score_openai,adherence_score_anthropic
anthropic,script,1,common,0.5499098300933838,1.0,1.0
anthropic,script,1,complex,0.6186537146568298,0.88,0.95
anthropic,script,2,common,0.8079460263252258,1.0,1.0
anthropic,script,2,complex,0.5585474967956543,0.65,0.95
anthropic,script,3,common,0.6565132141113281,1.0,0.8
anthropic,script,3,complex,0.6749968528747559,0.72,0.85
anthropic,script,4,common,0.7438061237335205,1.0,0.95
anthropic,script,4,complex,0.6324323415756226,0.95,0.95
anthropic,script,5,common,0.7098382711410522,1.0,0.95
anthropic,script,5,complex,0.5498107075691223,1.0,1.0
anthropic,script,6,common,0.7472304701805115,1.0,1.0
anthropic,script,6,complex,0.6005489230155945,0.5,0.7
anthropic,script,7,common,0.761466383934021,1.0,1.0
anthropic,script,7,complex,0.7045677304267883,0.9,0.9
anthropic,tanenbaum,1,common,0.5289931297302246,1.0,1.0
anthropic,tanenbaum,1,complex,0.6145259141921997,0.98,0.85
anthropic,tanenbaum,2,common,0.7142789959907532,1.0,1.0
anthropic,tanenbaum,2,complex,0.6138086318969727,0.9,0.92
anthropic,tanenbaum,3,common,0.38860803842544556,1.0,1.0
anthropic,tanenbaum,3,complex,0.24955248832702637,0.95,0.9
anthropic,tanenbaum,4,common,0.5195691585540771,1.0,1.0
anthropic,tanenbaum,4,complex,0.6302269697189331,0.88,0.95
anthropic,tanenbaum,5,common,0.5467404723167419,1.0,1.0
anthropic,tanenbaum,5,complex,0.5401617884635925,1.0,1.0
anthropic,tanenbaum,6,common,0.690914511680603,1.0,1.0
anthropic,tanenbaum,6,complex,0.54876309633255,1.0,1.0
anthropic,tanenbaum,7,common,0.7260748744010925,1.0,1.0
anthropic,tanenbaum,7,complex,0.5053822994232178,0.67,0.5
anthropic,transcript,1,common,0.47263389825820923,1.0,1.0
anthropic,transcript,1,complex,0.5692411661148071,0.92,0.9
anthropic,transcript,2,common,0.4418014585971832,1.0,1.0
anthropic,transcript,2,complex,0.47093719244003296,0.94,0.95
anthropic,transcript,3,common,0.24019362032413483,1.0,1.0
anthropic,transcript,3,complex,0.5810832977294922,0.96,0.95
anthropic,transcript,4,common,0.21265418827533722,0.45,0.7
anthropic,transcript,4,complex,0.4318072199821472,0.88,0.95
anthropic,transcript,5,common,0.5044702291488647,1.0,1.0
anthropic,transcript,5,complex,0.607332706451416,0.95,1.0
anthropic,transcript,6,common,0.6110761761665344,1.0,1.0
anthropic,transcript,6,complex,0.6628584861755371,1.0,1.0
anthropic,transcript,7,common,0.6726187467575073,1.0,1.0
anthropic,transcript,7,complex,0.6980029344558716,0.96,0.95
deepseek,script,1,common,0.5115399360656738,1.0,1.0
deepseek,script,1,complex,0.6791390776634216,0.97,0.95
deepseek,script,2,common,0.5696344375610352,1.0,0.85
deepseek,script,2,complex,0.308504581451416,0.95,0.9
deepseek,script,3,common,0.4610922336578369,1.0,1.0
deepseek,script,3,complex,0.6213271021842957,0.7,0.9
deepseek,script,4,common,0.6235604882240295,1.0,0.9
deepseek,script,4,complex,0.637781023979187,1.0,0.95
deepseek,script,5,common,0.6152225732803345,1.0,0.9
deepseek,script,5,complex,0.5520440340042114,0.96,0.65
deepseek,script,6,common,0.6472213864326477,1.0,1.0
deepseek,script,6,complex,0.48433712124824524,0.96,0.9
deepseek,script,7,common,0.6947965621948242,1.0,1.0
deepseek,script,7,complex,0.764846682548523,1.0,1.0
deepseek,tanenbaum,1,common,0.5976669192314148,0.9,0.95
deepseek,tanenbaum,1,complex,0.44894811511039734,1.0,1.0
deepseek,tanenbaum,2,common,0.6724183559417725,1.0,1.0
deepseek,tanenbaum,2,complex,0.6382260918617249,0.96,0.9
deepseek,tanenbaum,3,common,0.257340669631958,1.0,1.0
deepseek,tanenbaum,3,complex,0.560123085975647,0.88,0.9
deepseek,tanenbaum,4,common,0.35500243306159973,1.0,1.0
deepseek,tanenbaum,4,complex,0.4551243484020233,0.9,1.0
deepseek,tanenbaum,5,common,0.3949928879737854,1.0,1.0
deepseek,tanenbaum,5,complex,0.3695083260536194,1.0,1.0
deepseek,tanenbaum,6,common,0.5513515472412109,1.0,1.0
deepseek,tanenbaum,6,complex,0.3791263997554779,1.0,1.0
deepseek,tanenbaum,7,common,0.47651559114456177,0.97,0.9
deepseek,tanenbaum,7,complex,0.6689682602882385,0.93,0.85
deepseek,transcript,1,common,0.3270072638988495,1.0,1.0
deepseek,transcript,1,complex,0.4570721387863159,1.0,0.95
deepseek,transcript,2,common,0.20888486504554749,1.0,1.0
deepseek,transcript,2,complex,0.2460004687309265,1.0,0.9
deepseek,transcript,3,common,0.35077255964279175,1.0,0.95
deepseek,transcript,3,complex,0.3608081340789795,1.0,0.95
deepseek,transcript,4,common,0.3211154341697693,0.85,0.9
deepseek,transcript,4,complex,0.2252260446548462,1.0,0.95
deepseek,transcript,5,common,0.5181406140327454,1.0,1.0
deepseek,transcript,5,complex,0.46983861923217773,0.97,0.95
deepseek,transcript,6,common,0.47192251682281494,0.88,1.0
deepseek,transcript,6,complex,0.5021122694015503,1.0,0.9
deepseek,transcript,7,common,0.5762850046157837,1.0,0.9
deepseek,transcript,7,complex,0.5509244203567505,1.0,1.0
google,script,1,common,0.4030637741088867,1.0,1.0
google,script,1,complex,0.762276828289032,0.92,0.95
google,script,2,common,0.44263648986816406,0.97,1.0
google,script,2,complex,0.7795253992080688,0.9,1.0
google,script,3,common,0.5328888893127441,1.0,0.9
google,script,3,complex,0.7825381755828857,0.97,0.95
google,script,4,common,0.738074004650116,1.0,0.95
google,script,4,complex,0.7609617710113525,0.92,1.0
google,script,5,common,0.7497250437736511,1.0,0.95
google,script,5,complex,0.7071096897125244,0.9,0.9
google,script,6,common,0.6699420213699341,1.0,1.0
google,script,6,complex,0.6498295068740845,0.95,1.0
google,script,7,common,0.7722494602203369,1.0,0.95
google,script,7,complex,0.6970902681350708,0.85,0.75
google,tanenbaum,1,common,0.6686496138572693,1.0,1.0
google,tanenbaum,1,complex,0.6655325889587402,0.9,0.85
google,tanenbaum,2,common,0.7246264815330505,0.95,1.0
google,tanenbaum,2,complex,0.6686133146286011,0.96,1.0
google,tanenbaum,3,common,0.4917356073856354,1.0,1.0
google,tanenbaum,3,complex,0.7049029469490051,0.9,0.9
google,tanenbaum,4,common,0.616260826587677,1.0,0.95
google,tanenbaum,4,complex,0.697796106338501,1.0,0.95
google,tanenbaum,5,common,0.5244688987731934,1.0,1.0
google,tanenbaum,5,complex,0.5596412420272827,0.97,0.9
google,tanenbaum,6,common,0.5796530246734619,1.0,1.0
google,tanenbaum,6,complex,0.48883724212646484,0.9,0.85
google,tanenbaum,7,common,0.7965516448020935,1.0,0.9
google,tanenbaum,7,complex,0.46575552225112915,0.88,0.8
google,transcript,1,common,0.3193734288215637,1.0,1.0
google,transcript,1,complex,0.8341479301452637,0.45,0.7
google,transcript,2,common,0.393557071685791,1.0,0.98
google,transcript,2,complex,0.7424037456512451,0.94,0.9
google,transcript,3,common,0.5179854035377502,1.0,0.95
google,transcript,3,complex,0.8445255756378174,1.0,1.0
google,transcript,4,common,0.2374391108751297,1.0,1.0
google,transcript,4,complex,0.6655715703964233,0.96,0.85
google,transcript,5,common,0.6019459962844849,1.0,1.0
google,transcript,5,complex,0.6792750954627991,0.96,0.85
google,transcript,6,common,0.6246076822280884,1.0,1.0
google,transcript,6,complex,0.5505408048629761,0.9,0.85
google,transcript,7,common,0.7765903472900391,0.7,0.9
google,transcript,7,complex,0.750723123550415,0.94,0.95
openai,script,1,common,0.5392286777496338,1.0,1.0
openai,script,1,complex,0.6586512327194214,0.95,0.95
openai,script,2,common,0.41227051615715027,1.0,1.0
openai,script,2,complex,0.5946847200393677,1.0,1.0
openai,script,3,common,0.6513710021972656,1.0,1.0
openai,script,3,complex,0.698106586933136,0.9,0.9
openai,script,4,common,0.6512570381164551,1.0,1.0
openai,script,4,complex,0.6448891162872314,0.9,0.9
openai,script,5,common,0.6839014887809753,1.0,0.9
openai,script,5,complex,0.589608371257782,1.0,1.0
openai,script,6,common,0.7031519412994385,1.0,1.0
openai,script,6,complex,0.5554192066192627,1.0,0.95
openai,script,7,common,0.6467690467834473,1.0,1.0
openai,script,7,complex,0.7167435884475708,1.0,1.0
openai,tanenbaum,1,common,0.46376094222068787,1.0,1.0
openai,tanenbaum,1,complex,0.6467241644859314,0.94,0.95
openai,tanenbaum,2,common,0.7366489171981812,1.0,1.0
openai,tanenbaum,2,complex,0.6960964202880859,1.0,0.95
openai,tanenbaum,3,common,0.2932736873626709,1.0,1.0
openai,tanenbaum,3,complex,0.5454310178756714,1.0,1.0
openai,tanenbaum,4,common,0.30701541900634766,0.97,0.95
openai,tanenbaum,4,complex,0.37637779116630554,1.0,0.95
openai,tanenbaum,5,common,0.44522780179977417,1.0,1.0
openai,tanenbaum,5,complex,0.6214539408683777,0.98,0.9
openai,tanenbaum,6,common,0.5704004168510437,1.0,0.95
openai,tanenbaum,6,complex,0.5680447816848755,1.0,1.0
openai,tanenbaum,7,common,0.6250739693641663,1.0,1.0
openai,tanenbaum,7,complex,0.6710594892501831,0.55,0.4
openai,transcript,1,common,0.35957515239715576,1.0,1.0
openai,transcript,1,complex,0.36599093675613403,1.0,1.0
openai,transcript,2,common,0.20100007951259613,1.0,1.0
openai,transcript,2,complex,0.34339943528175354,1.0,1.0
openai,transcript,3,common,0.22173607349395752,1.0,1.0
openai,transcript,3,complex,0.46414995193481445,1.0,0.95
openai,transcript,4,common,0.20039741694927216,1.0,0.95
openai,transcript,4,complex,0.7108306884765625,0.96,0.95
openai,transcript,5,common,0.61495441198349,1.0,1.0
openai,transcript,5,complex,0.5474538803100586,0.85,0.9
openai,transcript,6,common,0.5827171206474304,0.93,1.0
openai,transcript,6,complex,0.5804719924926758,1.0,0.9
openai,transcript,7,common,0.7730352878570557,1.0,1.0
openai,transcript,7,complex,0.5334818363189697,0.95,0.95
