llm,layer,question_type,bloom_level,bloom_idx
anthropic,1,open_ended,Remembering,1
anthropic,1,open_ended,Applying,3
anthropic,1,open_ended,Creating,6
anthropic,2,open_ended,Remembering,1
anthropic,2,open_ended,Evaluating,5
anthropic,2,open_ended,Creating,6
anthropic,3,open_ended,Applying,3
anthropic,3,open_ended,Analyzing,4
anthropic,3,open_ended,Evaluating,5
anthropic,4,open_ended,Understanding,2
anthropic,4,open_ended,Applying,3
anthropic,4,open_ended,Analyzing,4
anthropic,5,open_ended,Analyzing,4
anthropic,5,open_ended,Evaluating,5
anthropic,5,open_ended,Creating,6
anthropic,6,open_ended,Remembering,1
anthropic,6,open_ended,Evaluating,5
anthropic,6,open_ended,Creating,6
anthropic,7,open_ended,Understanding,2
anthropic,7,open_ended,Analyzing,4
anthropic,7,open_ended,Creating,6
deepseek,1,open_ended,Analyzing,4
deepseek,1,open_ended,Evaluating,5
deepseek,1,open_ended,Creating,6
deepseek,2,open_ended,Remembering,1
deepseek,2,open_ended,Analyzing,4
deepseek,2,open_ended,Creating,6
deepseek,3,open_ended,Remembering,1
deepseek,3,open_ended,Applying,3
deepseek,3,open_ended,Creating,6
deepseek,4,open_ended,Remembering,1
deepseek,4,open_ended,Applying,3
deepseek,4,open_ended,Evaluating,5
deepseek,5,open_ended,Applying,3
deepseek,5,open_ended,Analyzing,4
deepseek,5,open_ended,Evaluating,5
deepseek,6,open_ended,Remembering,1
deepseek,6,open_ended,Evaluating,5
deepseek,6,open_ended,Creating,6
deepseek,7,open_ended,Applying,3
deepseek,7,open_ended,Analyzing,4
deepseek,7,open_ended,Creating,6
openai,1,open_ended,Understanding,2
openai,1,open_ended,Analyzing,4
openai,1,open_ended,Evaluating,5
openai,2,open_ended,Remembering,1
openai,2,open_ended,Applying,3
openai,2,open_ended,Creating,6
openai,3,open_ended,Remembering,1
openai,3,open_ended,Applying,3
openai,3,open_ended,Analyzing,4
openai,4,open_ended,Applying,3
openai,4,open_ended,Evaluating,5
openai,4,open_ended,Creating,6
openai,5,open_ended,Remembering,1
openai,5,open_ended,Analyzing,4
openai,5,open_ended,Evaluating,5
openai,6,open_ended,Understanding,2
openai,6,open_ended,Evaluating,5
openai,6,open_ended,Creating,6
openai,7,open_ended,Remembering,1
openai,7,open_ended,Understanding,2
openai,7,open_ended,Analyzing,4
xai,1,open_ended,Understanding,2
xai,1,open_ended,Analyzing,4
xai,1,open_ended,Evaluating,5
xai,2,open_ended,Understanding,2
xai,2,open_ended,Applying,3
xai,2,open_ended,Creating,6
xai,3,open_ended,Applying,3
xai,3,open_ended,Evaluating,5
xai,3,open_ended,Creating,6
xai,4,open_ended,Remembering,1
xai,4,open_ended,Analyzing,4
xai,4,open_ended,Creating,6
xai,5,open_ended,Analyzing,4
xai,5,open_ended,Evaluating,5
xai,5,open_ended,Creating,6
xai,6,open_ended,Analyzing,4
xai,6,open_ended,Evaluating,5
xai,6,open_ended,Creating,6
xai,7,open_ended,Applying,3
xai,7,open_ended,Analyzing,4
xai,7,open_ended,Evaluating,5
