llm,input_source,layer,prompt_type
anthropic,no_source,1,complex_no_source
anthropic,no_source,2,complex_no_source
anthropic,no_source,3,complex_no_source
anthropic,no_source,4,complex_no_source
anthropic,no_source,5,complex_no_source
anthropic,no_source,6,complex_no_source
anthropic,no_source,7,complex_no_source
deepseek,no_source,1,complex_no_source
deepseek,no_source,2,complex_no_source
deepseek,no_source,3,complex_no_source
deepseek,no_source,4,complex_no_source
deepseek,no_source,5,complex_no_source
deepseek,no_source,6,complex_no_source
deepseek,no_source,7,complex_no_source
google,no_source,1,complex_no_source
google,no_source,2,complex_no_source
google,no_source,3,complex_no_source
google,no_source,4,complex_no_source
google,no_source,5,complex_no_source
google,no_source,6,complex_no_source
google,no_source,7,complex_no_source
openai,no_source,1,complex_no_source
openai,no_source,2,complex_no_source
openai,no_source,3,complex_no_source
openai,no_source,4,complex_no_source
openai,no_source,5,complex_no_source
openai,no_source,6,complex_no_source
openai,no_source,7,complex_no_source
